ref_date,sector,value,yoy_pct
2022-06-01,Clothing and clothing accessories retailers,477462,5.529757339598573
2022-06-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",272605,10.630207255357927
2022-06-01,Miscellaneous retailers,470980,11.708284315585749
2022-07-01,All Retail Trade,9488052,2.774662371702985
2022-07-01,Motor vehicle and parts dealers,2044026,-9.778492242991154
2022-07-01,Building material and garden equipment and supplies dealers,594121,-5.436907111478961
2022-07-01,Food and beverage retailers,2107977,4.408690186615227
2022-07-01,"Furniture, home furnishings stores, electronics and appliances retailers",544683,1.5332048361661021
2022-07-01,General merchandise retailers,1105133,12.09416399481893
2022-07-01,Health and personal care retailers,602325,0.8269374021778297
2022-07-01,Gasoline stations and fuel vendors,1159063,16.058917476481582
2022-07-01,Clothing and clothing accessories retailers,473979,11.700563240873851
2022-07-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",280965,15.489906733365943
2022-07-01,Miscellaneous retailers,459558,6.1867032669952415
2022-08-01,All Retail Trade,9632847,7.456108842396092
2022-08-01,Motor vehicle and parts dealers,2336458,6.554459816412006
2022-08-01,Building material and garden equipment and supplies dealers,597180,5.228472550166696
2022-08-01,Food and beverage retailers,2013836,6.41911726238571
2022-08-01,"Furniture, home furnishings stores, electronics and appliances retailers",567712,6.432895449747744
2022-08-01,General merchandise retailers,1039041,8.329128229936433
2022-08-01,Health and personal care retailers,590085,-1.196521948793683
2022-08-01,Gasoline stations and fuel vendors,1153490,16.95846544296058
2022-08-01,Clothing and clothing accessories retailers,451749,6.538796244543343
2022-08-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",289453,18.276841352538554
2022-08-01,Miscellaneous retailers,471983,4.435342901017392
2022-09-01,All Retail Trade,9060725,3.1351839267685033
2022-09-01,Motor vehicle and parts dealers,1885994,-11.155026022332848
2022-09-01,Building material and garden equipment and supplies dealers,567660,-2.0324901585504596
2022-09-01,Food and beverage retailers,1924341,3.653795189678677
2022-09-01,"Furniture, home furnishings stores, electronics and appliances retailers",585612,6.6362206100865295
2022-09-01,General merchandise retailers,1015832,6.634475084765334
2022-09-01,Health and personal care retailers,594324,-3.4085977991116456
2022-09-01,Gasoline stations and fuel vendors,1096407,25.90888315721054
2022-09-01,Clothing and clothing accessories retailers,479696,9.700716022109557
2022-09-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",297720,22.119494327177858
2022-09-01,Miscellaneous retailers,492323,9.181894792867906
2022-10-01,All Retail Trade,9050404,2.4745189517313415
2022-10-01,Motor vehicle and parts dealers,1880640,-9.011122991547694
2022-10-01,Building material and garden equipment and supplies dealers,529322,-3.731105764071896
2022-10-01,Food and beverage retailers,1997204,3.714866737153022
2022-10-01,"Furniture, home furnishings stores, electronics and appliances retailers",540789,1.3328311559822836
2022-10-01,General merchandise retailers,1076304,5.592983385575323
2022-10-01,Health and personal care retailers,611924,0.113377757345412
2022-10-01,Gasoline stations and fuel vendors,1105551,25.085960809338424
2022-10-01,Clothing and clothing accessories retailers,477355,5.939754677745457
2022-10-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",270870,5.934390839121462
2022-10-01,Miscellaneous retailers,439653,1.993694598651219
2022-11-01,All Retail Trade,9292086,5.401732057029851
2022-11-01,Motor vehicle and parts dealers,1996731,4.517742929183743
2022-11-01,Building material and garden equipment and supplies dealers,485589,-5.773813219907476
2022-11-01,Food and beverage retailers,1867531,1.7133859674348217
2022-11-01,"Furniture, home furnishings stores, electronics and appliances retailers",662937,1.342495280170608
2022-11-01,General merchandise retailers,1150539,7.528114775011696
2022-11-01,Health and personal care retailers,647784,-0.8130529449053236
2022-11-01,Gasoline stations and fuel vendors,1007392,19.557701824948758
2022-11-01,Clothing and clothing accessories retailers,596994,16.12635919780583
2022-11-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",280917,-0.5631698925340212
2022-11-01,Miscellaneous retailers,464581,10.470123576563006
2022-12-01,All Retail Trade,9447652,2.403381430444096
2022-12-01,Motor vehicle and parts dealers,1596838,-10.268424092984151
2022-12-01,Building material and garden equipment and supplies dealers,402517,-11.569708686673408
2022-12-01,Food and beverage retailers,2207555,5.947603916052224
2022-12-01,"Furniture, home furnishings stores, electronics and appliances retailers",720983,7.144364459926167
2022-12-01,General merchandise retailers,1263406,8.921728290116304
2022-12-01,Health and personal care retailers,725666,-1.7059030693793553
2022-12-01,Gasoline stations and fuel vendors,805101,6.154472959716473
2022-12-01,Clothing and clothing accessories retailers,677519,13.001759609049902
2022-12-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",386678,17.49023897421873
2022-12-01,Miscellaneous retailers,481571,1.681133593322759
2023-01-01,All Retail Trade,7828346,3.7150141250479107
2023-01-01,Motor vehicle and parts dealers,1758640,-0.8380589150398965
2023-01-01,Building material and garden equipment and supplies dealers,371363,-7.629186513611996
2023-01-01,Food and beverage retailers,1802310,7.563351197794188
2023-01-01,"Furniture, home furnishings stores, electronics and appliances retailers",468360,-4.756288269015285
2023-01-01,General merchandise retailers,874026,9.09206647178793
2023-01-01,Health and personal care retailers,610272,3.6375863544659826
2023-01-01,Gasoline stations and fuel vendors,838424,12.210581540388766
2023-01-01,Clothing and clothing accessories retailers,429320,21.017707845911858
2023-01-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",228158,5.559796614247192
2023-01-01,Miscellaneous retailers,360076,-13.538460060798451
2023-02-01,All Retail Trade,7367614,-1.3542278381492578
2023-02-01,Motor vehicle and parts dealers,1594688,-8.775249744434921
2023-02-01,Building material and garden equipment and supplies dealers,329743,-30.082164477380914
2023-02-01,Food and beverage retailers,1739899,8.030349597811949
2023-02-01,"Furniture, home furnishings stores, electronics and appliances retailers",461570,-1.3524315128510933
2023-02-01,General merchandise retailers,849422,3.782324228891887
2023-02-01,Health and personal care retailers,596257,9.798617428357815
2023-02-01,Gasoline stations and fuel vendors,800905,4.683885134693555
2023-02-01,Clothing and clothing accessories retailers,387383,8.859176579356308
2023-02-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",184775,-13.265018729404698
2023-02-01,Miscellaneous retailers,327646,-14.157560069481745
2023-03-01,All Retail Trade,9121172,2.862201532134101
2023-03-01,Motor vehicle and parts dealers,2249319,7.135784040318116
2023-03-01,Building material and garden equipment and supplies dealers,461059,-22.00062256177403
2023-03-01,Food and beverage retailers,1932915,5.0590351210460405
2023-03-01,"Furniture, home furnishings stores, electronics and appliances retailers",551108,0.10098955230386508
2023-03-01,General merchandise retailers,1021282,7.100332957554456
2023-03-01,Health and personal care retailers,695585,14.657372120317014
2023-03-01,Gasoline stations and fuel vendors,942577,-4.665786056146004
2023-03-01,Clothing and clothing accessories retailers,473047,8.946798710271775
2023-03-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",233256,-4.8408547580388595
2023-03-01,Miscellaneous retailers,449908,0.4072906135693666
2023-04-01,All Retail Trade,8689190,-3.4761597215233087
2023-04-01,Motor vehicle and parts dealers,2065039,-1.4458315476196137
2023-04-01,Building material and garden equipment and supplies dealers,473739,-18.718301546232563
2023-04-01,Food and beverage retailers,1867082,-0.04154491401380245
2023-04-01,"Furniture, home furnishings stores, electronics and appliances retailers",498919,-8.63477459890747
2023-04-01,General merchandise retailers,1093696,7.356662576687123
2023-04-01,Health and personal care retailers,653761,6.077166087680319
2023-04-01,Gasoline stations and fuel vendors,863303,-17.78896606628283
2023-04-01,Clothing and clothing accessories retailers,481618,12.779215305178603
2023-04-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",232913,-4.383184859805411
2023-04-01,Miscellaneous retailers,342963,-22.460242456579838
2023-05-01,All Retail Trade,9635151,2.8822927560255396
2023-05-01,Motor vehicle and parts dealers,2303299,9.95107024880182
2023-05-01,Building material and garden equipment and supplies dealers,592040,-10.414787824497484
2023-05-01,Food and beverage retailers,2022815,5.789179439145786
2023-05-01,"Furniture, home furnishings stores, electronics and appliances retailers",519430,-5.5092184131777415
2023-05-01,General merchandise retailers,1185621,10.764707640910466
2023-05-01,Health and personal care retailers,710772,14.88951066584554
2023-05-01,Gasoline stations and fuel vendors,957644,-20.69076035150864
2023-05-01,Clothing and clothing accessories retailers,563123,29.83650629327419
2023-05-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",242284,-3.255895670784781
2023-05-01,Miscellaneous retailers,398552,-10.99717059292492
2023-06-01,All Retail Trade,9254139,-4.260598034319796
2023-06-01,Motor vehicle and parts dealers,2099560,-3.6973739191778265
2023-06-01,Building material and garden equipment and supplies dealers,553961,-15.717509018404996
2023-06-01,Food and beverage retailers,2044270,3.326011162183229
2023-06-01,"Furniture, home furnishings stores, electronics and appliances retailers",511747,-7.7836963142094096
2023-06-01,General merchandise retailers,1109616,1.9344858059928915
2023-06-01,Health and personal care retailers,679896,10.346036429500005
2023-06-01,Gasoline stations and fuel vendors,964461,-22.69971250664232
2023-06-01,Clothing and clothing accessories retailers,505408,5.853031235993655
2023-06-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",238550,-12.492434107958406
2023-06-01,Miscellaneous retailers,419248,-10.98390589833963
2023-07-01,All Retail Trade,9377713,-1.162925751250099
2023-07-01,Motor vehicle and parts dealers,2179817,6.643310799373392
2023-07-01,Building material and garden equipment and supplies dealers,498691,-16.062384598423552
2023-07-01,Food and beverage retailers,2089856,-0.8596393603915065
2023-07-01,"Furniture, home furnishings stores, electronics and appliances retailers",505489,-7.195745048037116
2023-07-01,General merchandise retailers,1153603,4.38589744401805
2023-07-01,Health and personal care retailers,644309,6.97032333042793
2023-07-01,Gasoline stations and fuel vendors,1022046,-11.82135914958894
2023-07-01,Clothing and clothing accessories retailers,495630,4.567923895362447
2023-07-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",250449,-10.86113928781165
2023-07-01,Miscellaneous retailers,402579,-12.398652618385498
2023-08-01,All Retail Trade,9475381,-1.6346776814788022
2023-08-01,Motor vehicle and parts dealers,2196827,-5.976182751840609
2023-08-01,Building material and garden equipment and supplies dealers,482180,-19.257175391004388
2023-08-01,Food and beverage retailers,2051591,1.874780270091514
2023-08-01,"Furniture, home furnishings stores, electronics and appliances retailers",535281,-5.71257961783439
2023-08-01,General merchandise retailers,1122109,7.99467970946286
2023-08-01,Health and personal care retailers,693407,17.50968080869706
2023-08-01,Gasoline stations and fuel vendors,1062403,-7.89664409747809
2023-08-01,Clothing and clothing accessories retailers,510150,12.92775412895213
2023-08-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",253545,-12.40546824527643
2023-08-01,Miscellaneous retailers,438640,-7.064449355167457
2023-09-01,All Retail Trade,9139634,0.8708905744297502
2023-09-01,Motor vehicle and parts dealers,2119975,12.406243073944022
2023-09-01,Building material and garden equipment and supplies dealers,467402,-17.661628439558896
2023-09-01,Food and beverage retailers,1946058,1.1285421866498613
2023-09-01,"Furniture, home furnishings stores, electronics and appliances retailers",534670,-8.698933765018479
2023-09-01,General merchandise retailers,1092492,7.546523440883934
2023-09-01,Health and personal care retailers,690704,16.216743729009764
2023-09-01,Gasoline stations and fuel vendors,969054,-11.615485855161445
2023-09-01,Clothing and clothing accessories retailers,530918,10.678012741402899
2023-09-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",253084,-14.99261050651619
2023-09-01,Miscellaneous retailers,406550,-17.422098906612128
2023-10-01,All Retail Trade,8943242,-1.1840576398578495
2023-10-01,Motor vehicle and parts dealers,2023961,7.620863110430487
2023-10-01,Building material and garden equipment and supplies dealers,504652,-4.660679132928536
2023-10-01,Food and beverage retailers,1883991,-5.668574667385007
2023-10-01,"Furniture, home furnishings stores, electronics and appliances retailers",517410,-4.323127874272592
2023-10-01,General merchandise retailers,1132245,5.197509253891086
2023-10-01,Health and personal care retailers,669553,9.417672782894604
2023-10-01,Gasoline stations and fuel vendors,961737,-13.00835510980497
2023-10-01,Clothing and clothing accessories retailers,515388,7.967445611756441
2023-10-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",230179,-15.022335437663825
2023-10-01,Miscellaneous retailers,379252,-13.738334550202092
2023-11-01,All Retail Trade,9303396,0.12171648002397006
2023-11-01,Motor vehicle and parts dealers,1975453,-1.0656417915082206
2023-11-01,Building material and garden equipment and supplies dealers,482315,-0.6742327359145261
2023-11-01,Food and beverage retailers,1844570,-1.229484276298487
2023-11-01,"Furniture, home furnishings stores, electronics and appliances retailers",664479,0.23260128790518753
2023-11-01,General merchandise retailers,1158318,0.6761178890937192
2023-11-01,Health and personal care retailers,735746,13.57890901905574
2023-11-01,Gasoline stations and fuel vendors,938467,-6.841924494139318
2023-11-01,Clothing and clothing accessories retailers,668865,12.038814460446833
2023-11-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",287247,2.253334614850644
2023-11-01,Miscellaneous retailers,404748,-12.87891670128567
2023-12-01,All Retail Trade,9631054,1.9412442371924854
2023-12-01,Motor vehicle and parts dealers,1752141,9.725657831289091
2023-12-01,Building material and garden equipment and supplies dealers,374513,-6.9572216825624755
2023-12-01,Food and beverage retailers,2188528,-0.8619037804267649
2023-12-01,"Furniture, home furnishings stores, electronics and appliances retailers",649079,-9.973050682193618
2023-12-01,General merchandise retailers,1309565,3.653536551195735
2023-12-01,Health and personal care retailers,823114,13.428767504609551
2023-12-01,Gasoline stations and fuel vendors,873572,8.504647243016716
2023-12-01,Clothing and clothing accessories retailers,723340,6.7630575673892634
2023-12-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",336610,-12.948241172241504
2023-12-01,Miscellaneous retailers,417160,-13.375182475688941
2024-01-01,All Retail Trade,7668634,-2.0401755364415464
2024-01-01,Motor vehicle and parts dealers,1688979,-3.9610721921484737
2024-01-01,Building material and garden equipment and supplies dealers,394178,6.143584578969907
2024-01-01,Food and beverage retailers,1777672,-1.3670234310412699
2024-01-01,"Furniture, home furnishings stores, electronics and appliances retailers",463409,-1.0570928345716935
2024-01-01,General merchandise retailers,907050,3.7783773022770584
2024-01-01,Health and personal care retailers,661417,8.380689266425456
2024-01-01,Gasoline stations and fuel vendors,763443,-8.94308846120817
2024-01-01,Clothing and clothing accessories retailers,390096,-9.136308581011832
2024-01-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",200600,-12.078471936114443
2024-01-01,Miscellaneous retailers,331805,-7.851398038191936
2024-02-01,All Retail Trade,7802379,5.901028474075876
2024-02-01,Motor vehicle and parts dealers,1806661,13.292443412128275
2024-02-01,Building material and garden equipment and supplies dealers,401090,21.637153783401008
2024-02-01,Food and beverage retailers,1780205,2.316571249250665
2024-02-01,"Furniture, home furnishings stores, electronics and appliances retailers",472322,2.329440821543871
2024-02-01,General merchandise retailers,957901,12.770919519390823
2024-02-01,Health and personal care retailers,671858,12.679264142810908
2024-02-01,Gasoline stations and fuel vendors,734154,-8.334446657219019
2024-02-01,Clothing and clothing accessories retailers,392840,1.4086833960189171
2024-02-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",188952,2.260587200649433
2024-02-01,Miscellaneous retailers,297688,-9.143404772223684
2024-03-01,All Retail Trade,8891189,-2.521419396542457
2024-03-01,Motor vehicle and parts dealers,2148921,-4.463484281242458
2024-03-01,Building material and garden equipment and supplies dealers,509338,10.471327964533828
2024-03-01,Food and beverage retailers,1961375,1.472387559721966
2024-03-01,"Furniture, home furnishings stores, electronics and appliances retailers",501769,-8.952691668420709
2024-03-01,General merchandise retailers,1062535,4.0393348751862845
2024-03-01,Health and personal care retailers,719801,3.481386171352163
2024-03-01,Gasoline stations and fuel vendors,853627,-9.436894810715735
2024-03-01,Clothing and clothing accessories retailers,458824,-3.0066779833716306
2024-03-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",221607,-4.994083753472578
2024-03-01,Miscellaneous retailers,338603,-24.73950229824764
