ref_date,sector,value,yoy_pct
2019-12-01,All Retail Trade,8182528,NA
2019-12-01,Motor vehicle and parts dealers,1468801,NA
2019-12-01,Building material and garden equipment and supplies dealers,383956,NA
2019-12-01,Food and beverage retailers,1789689,NA
2019-12-01,"Furniture, home furnishings stores, electronics and appliances retailers",630456,NA
2019-12-01,General merchandise retailers,1014743,NA
2019-12-01,Health and personal care retailers,697539,NA
2019-12-01,Gasoline stations and fuel vendors,725901,NA
2019-12-01,Clothing and clothing accessories retailers,595410,NA
2019-12-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",320640,NA
2019-12-01,Miscellaneous retailers,393851,NA
2020-01-01,All Retail Trade,6664927,NA
2020-01-01,Motor vehicle and parts dealers,1482405,NA
2020-01-01,Building material and garden equipment and supplies dealers,347671,NA
2020-01-01,Food and beverage retailers,1563958,NA
2020-01-01,"Furniture, home furnishings stores, electronics and appliances retailers",405781,NA
2020-01-01,General merchandise retailers,647911,NA
2020-01-01,Health and personal care retailers,558006,NA
2020-01-01,Gasoline stations and fuel vendors,746585,NA
2020-01-01,Clothing and clothing accessories retailers,322397,NA
2020-01-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",199355,NA
2020-01-01,Miscellaneous retailers,313039,NA
2020-02-01,All Retail Trade,6744891,NA
2020-02-01,Motor vehicle and parts dealers,1495917,NA
2020-02-01,Building material and garden equipment and supplies dealers,380549,NA
2020-02-01,Food and beverage retailers,1542509,NA
2020-02-01,"Furniture, home furnishings stores, electronics and appliances retailers",406744,NA
2020-02-01,General merchandise retailers,708150,NA
2020-02-01,Health and personal care retailers,552019,NA
2020-02-01,Gasoline stations and fuel vendors,762294,NA
2020-02-01,Clothing and clothing accessories retailers,317839,NA
2020-02-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",200157,NA
2020-02-01,Miscellaneous retailers,297251,NA
2020-03-01,All Retail Trade,7040476,-6.708355318549552
2020-03-01,Motor vehicle and parts dealers,1359382,-32.040720115943245
2020-03-01,Building material and garden equipment and supplies dealers,490499,12.638243345029675
2020-03-01,Food and beverage retailers,1993879,23.219283690375757
2020-03-01,"Furniture, home furnishings stores, electronics and appliances retailers",405282,-5.921869668262946
2020-03-01,General merchandise retailers,813555,12.840318511357474
2020-03-01,Health and personal care retailers,608504,5.104032444719264
2020-03-01,Gasoline stations and fuel vendors,618751,-22.069208728234514
2020-03-01,Clothing and clothing accessories retailers,201248,-49.07202615636119
2020-03-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",175159,-8.074250566798224
2020-03-01,Miscellaneous retailers,330006,17.89760243507712
2020-04-01,All Retail Trade,5943613,-20.526726566995023
2020-04-01,Motor vehicle and parts dealers,1147891,-39.350865838033464
2020-04-01,Building material and garden equipment and supplies dealers,497568,-2.9021934275232253
2020-04-01,Food and beverage retailers,1834170,15.663074549104007
2020-04-01,"Furniture, home furnishings stores, electronics and appliances retailers",319306,-28.601551372152667
2020-04-01,General merchandise retailers,732065,-5.293763785843197
2020-04-01,Health and personal care retailers,499722,-9.702122277133796
2020-04-01,Gasoline stations and fuel vendors,394606,-50.20191516534328
2020-04-01,Clothing and clothing accessories retailers,97566,-73.58147242552984
2020-04-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",124232,-37.63328580895199
2020-04-01,Miscellaneous retailers,277778,6.003121577426951
2020-05-01,All Retail Trade,7319615,-10.967550222355637
